,Tweets,Case_Folding
42,"BEAR BOBBA LOWOKWARU

Boba Brown Sugar 13K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee
#BTS https://t.co/AHDAMR3pFL","bear bobba lowokwaru

boba brown sugar 13k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

🌐https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#shopee
#bts https://t.co/ahdamr3pfl"
43,"@uchiha201 Buka di google, ""cara daftar jadi shopeefood driver""","@uchiha201 buka di google, ""cara daftar jadi shopeefood driver"""
44,"@nnirwansyah Buka aja google, ""cara daftar shopeefood driver""","@nnirwansyah buka aja google, ""cara daftar shopeefood driver"""
45,[Askrl] rata2 penghasilan driver shopeefood berapa ya sehari,[askrl] rata2 penghasilan driver shopeefood berapa ya sehari
46,Jog rata2 penghasilan driver shopeefood berapa ya sehari,jog rata2 penghasilan driver shopeefood berapa ya sehari
47,"Jiakh, shopeefood dah ada akhirnya","jiakh, shopeefood dah ada akhirnya"
48,"Nasib baik Erna kabo tentang ShopeeFood. Setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. Kalau takdo baucer, aku rela makan makanan kafe.","nasib baik erna kabo tentang shopeefood. setidaknya boleh klaim penghantaran percuma, jadi aku cuma bayar harga makanan jelah. kalau takdo baucer, aku rela makan makanan kafe."
49,"Jangan lupa Klaim Vocher ShopeeFood km 😗

https://t.co/tCA2ilgUvH","jangan lupa klaim vocher shopeefood km 😗

https://t.co/tca2ilguvh"
50,"lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aQxkPD0Jze","lunas ya, dicoba aja kalo bisa ya rejeki kalo ga bisa ya shopeefood aja😂✌ https://t.co/aqxkpd0jze"
51,"Shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya","shopeefood parah sih ini emang, baru kali ini beli mekdi harganya turun jauh dari harga aslinya"
52,"Rencana kirim makanan pake shopeefood, eh ketiduran :(
Astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. Bisa2 nya ketidurannn wkwk 🤣🤣🤣","rencana kirim makanan pake shopeefood, eh ketiduran :(
astagaaa antara mo ngakak sm gaenak kan janji mo pesenin makan. bisa2 nya ketidurannn wkwk 🤣🤣🤣"
53,"@jogmfs Order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin","@jogmfs order shopeefood warmindo elephant nder, aku lgi ngalong disini, kali aja nyantol, mayan bantu tutup poin"
54,@uniquerls @sicutgeulis @shopeefood_id Bakal ada di bulan november / desember kak ditunggu aja,@uniquerls @sicutgeulis @shopeefood_id bakal ada di bulan november / desember kak ditunggu aja
55,"ada voucher shopeefood juga
disc 50% max 18k 
disc 30% max 18k
udah sama vc gratis ongkirnya
fee 5k ya btw soalnya 2 vc yg dipake
vc shopeefood 
#zonauang #zonajajan #zonaba https://t.co/UPUv5ZNT1G","ada voucher shopeefood juga
disc 50% max 18k 
disc 30% max 18k
udah sama vc gratis ongkirnya
fee 5k ya btw soalnya 2 vc yg dipake
vc shopeefood 
#zonauang #zonajajan #zonaba https://t.co/upuv5znt1g"
56,"Apaka warung q harus kaya gini? 😂 
Udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/eMQ1D0fn8K","apaka warung q harus kaya gini? 😂 
udah nebak orderan pake nama cust krna driver pake jas gojek, ternyata dia ambil orderan shopeefood https://t.co/emq1d0fn8k"
57,"@deakrn_ @sbyfess Ndang dibuka shopeefood e wes awe awe
Scroll sejam sek trs keturon 👍","@deakrn_ @sbyfess ndang dibuka shopeefood e wes awe awe
scroll sejam sek trs keturon 👍"
58,"@ShopeeID @ShopeeCare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? Padahal terakhir cuma pesen shopeefood. Gimanaaa nih bisa balik gaaa????","@shopeeid @shopeecare hoee admin, ini kenapa deh kok akun aku tiba tiba dibatasi??? padahal terakhir cuma pesen shopeefood. gimanaaa nih bisa balik gaaa????"
59,@orenjigurin Akhirnya pake shopeefood☺️☺️☺️,@orenjigurin akhirnya pake shopeefood☺️☺️☺️
60,Terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk,terimakasih kepada bapak gofood grabfood shopeefood yang selalu menyelamatkan malam hariku rispekkk
61,Gofood gue drtd magrib ga dapet2 driver. Apa udah beralih ke shopeefood semua ya,gofood gue drtd magrib ga dapet2 driver. apa udah beralih ke shopeefood semua ya
62,"@DikiPamuji @shopeefood_id Isi atuh,,, ginjal masih lengkap kan?😭","@dikipamuji @shopeefood_id isi atuh,,, ginjal masih lengkap kan?😭"
63,@hahh_ai @shopeefood_id Ga pernah punya saldo shpepay😭,@hahh_ai @shopeefood_id ga pernah punya saldo shpepay😭
64,"@DikiPamuji @shopeefood_id Bisa, tapi yg promo² gt kebanyakan pke shopeepay","@dikipamuji @shopeefood_id bisa, tapi yg promo² gt kebanyakan pke shopeepay"
