,Unnamed: 0,Created_At,Tweets
127,127,2021-10-15 10:42:30+00:00,"gila y syopifud, murah pisannn. mana voucher bisa dipake 2 2nya dalam 1 pesenan (toko sama gratis ongkir) introvert bahagia karna gaperlu melipir2 beli makanan di luar 🤣🤣"
128,128,2021-10-15 09:27:12+00:00,subway masuk syopifud ga si? mau coba tp maunya diskon
129,129,2021-10-15 06:36:39+00:00,"wts voucher shopeefud diskon 100% 25k minbel 40k (pengguna baru syopifud), ada jg yg 60% 25k dan 50% 18k. 

fee 2k ajaa 😉

#zonaba #zonauang https://t.co/ehh7hbgefa"
130,130,2021-10-15 06:36:35+00:00,"@shalzpt pake syopifud ajaa , free ongkirr"
131,131,2021-10-15 05:44:21+00:00,"menyedihkan skl td order syopifud kukira spare 30 menit cukup, ternyata antri banyak bgt sampe 1 jam :"") yh gjd"
132,132,2021-10-15 04:30:48+00:00,"syopifud sm gofud promonya beda tipis bgt, 90 perak wkwk"
133,133,2021-10-15 00:16:43+00:00,@nissamaliaa gk liat syopifud tbtb bangun yg di otakku hanya boba
134,134,2021-10-14 15:55:22+00:00,"laper banget malem-malem, akhirnya order syopifud. met mam fess 😚 https://t.co/ujks40ju2z"
135,135,2021-10-14 15:55:15+00:00,"laper banget malem-malem, akhirnya order syopifud. met mam fess 😚 https://t.co/grn1t3hd5o"
136,136,2021-10-14 15:51:13+00:00,"laper banget malem-malem, akhirnya order syopifud. met mam guis 😚 https://t.co/d1llfv0vss"
137,137,2021-10-14 15:20:20+00:00,"@bertanyarl harusnya si, kek grab atau gofud atau syopifud udah mau deket rumah si sebaiknya ya lngsng keluar. kek aneh aja gua masa iya si tega bgt nunggu lama2 (?)"
138,138,2021-10-14 14:58:32+00:00,@americhangsub @autmnmelody @meloandblue shipnamenya soofad:( udh kayak syopifud 11 12
139,139,2021-10-14 14:50:14+00:00,"lagi kepengen banget thai green tea kopken, trus pesen via syopifud tapi knp yg dateng malah thai tea🥴 https://t.co/k6mhrqw1sk"
140,140,2021-10-14 14:33:47+00:00,cilegon kapan ada syopifud sih ya allah aku iri https://t.co/vcknhf6on7
141,141,2021-10-14 13:54:39+00:00,"@minfaery huhu belom ada syopifud di sini ka azra, padahal kan pengen coba"
142,142,2021-10-14 13:52:52+00:00,@minfaery syopifud in aku kak
143,143,2021-10-14 13:52:12+00:00,capek bgt mending syopifud apa hari ini
144,144,2021-10-14 13:27:08+00:00,@moonareas daritadi scroll syopifud bingung mau makan apa
145,145,2021-10-14 13:14:09+00:00,@wahyuyk_ tim syopifud ni
