,Created_At,Tweets,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming
473,2021-12-25 13:44:08+00:00,Share &amp; Makan Gratis Bareng Teman di ShopeeFood https://t.co/Y3h5dquAHD https://t.co/tHLQmdSx6w,share amp makan gratis bareng teman di shopeefood,bagikan amp makan gratis bersama teman di shopeefood,bagikan makan gratis teman shopeefood,"['bagi', 'makan', 'gratis', 'teman', 'shopeefood']"
474,2021-12-25 13:43:53+00:00,Voucher shopeefood udah abis🥺 hujan2 giniii,voucher shopeefood udah abis hujan giniii,voucher shopeefood sudah habis hujan giniii,voucher shopeefood habis hujan giniii,"['voucher', 'shopeefood', 'habis', 'hujan', 'giniii']"
475,2021-12-25 13:43:42+00:00,Pesen shopeefood sm gofood drtd ga dpt2 driver🥲🥲🥲,pesen shopeefood sm gofood drtd ga dpt driver,pesan shopeefood sama gofood drtd tidak dapat driver,pesan shopeefood gofood drtd driver,"['pesan', 'shopeefood', 'gofood', 'drtd', 'driver']"
476,2021-12-25 13:38:15+00:00,"Guys, yang doyan cireng isi boleh tengok lapak aku ya...

Cireng Isi Ayam Suwir Pedas 1 pack isi 5 pcs.
Cireng Isi Bakso Pedas 1 pack isi 5 pcs.
pengiriman dari Bojongsari - Depok.

Shopee : https://t.co/gRUsEgjEMH
Shopeefood : cireng isi juragan
Gofood : cireng isi juragan https://t.co/NADF6MvxMn",guys yang doyan cireng isi boleh tengok lapak aku ya cireng isi ayam suwir pedas pack isi pcs cireng isi bakso pedas pack isi pcs pengiriman dari bojongsari depok shopee shopeefood cireng isi juragan gofood cireng isi juragan,guys yang suka cireng isi boleh lihat lapak saya ya cireng isi ayam suwir pedas pack isi pcs cireng isi bakso pedas pack isi pcs pengiriman dari bojongsari depok shopee shopeefood cireng isi juragan gofood cireng isi juragan,guys suka cireng isi lihat lapak cireng isi ayam suwir pedas pack isi pcs cireng isi bakso pedas pack isi pcs pengiriman bojongsari depok shopee shopeefood cireng isi juragan gofood cireng isi juragan,"['guys', 'suka', 'cireng', 'isi', 'lihat', 'lapak', 'cireng', 'isi', 'ayam', 'suwir', 'pedas', 'pack', 'isi', 'pcs', 'cireng', 'isi', 'bakso', 'pedas', 'pack', 'isi', 'pcs', 'kirim', 'bojongsari', 'depok', 'shopee', 'shopeefood', 'cireng', 'isi', 'juragan', 'gofood', 'cireng', 'isi', 'juragan']"
477,2021-12-25 13:36:20+00:00,@oreniehoon Go/grab/shopeefood adalah jalan keluar terakhirnya,gograbshopeefood adalah jalan keluar terakhirnya,gograbshopeefood adalah jalan keluar terakhirnya,gograbshopeefood jalan terakhirnya,"['gograbshopeefood', 'jalan', 'akhir']"
478,2021-12-25 13:34:32+00:00,"*Cek Menu Kita Selengkapnya di* [QR Code]

#TheNextLevel #VariousFlavours

Follow FB/IG/Twitter kami @PutraPenyetOfficial

Available on GoFood | GrabFood | ShopeeFood https://t.co/2oJig9PXkb",cek menu kita selengkapnya di qr code follow fbigtwitter kami available on gofood grabfood shopeefood,cek menu kita selengkapnya di qr code follow fbigtwitter kami available on gofood grabfood shopeefood,cek menu selengkapnya qr code follow fbigtwitter available on gofood grabfood shopeefood,"['cek', 'menu', 'lengkap', 'qr', 'code', 'follow', 'fbigtwitter', 'available', 'on', 'gofood', 'grabfood', 'shopeefood']"
479,2021-12-25 13:32:45+00:00,"orang lagi nunggu shopeefood eh malah ada kebakaran, pas banget mesen minuman sambil nonton kebakaran 💃🏻💃🏻",orang lagi nunggu shopeefood eh malah ada kebakaran pas banget mesen minuman sambil nonton kebakaran,orang lagi nunggu shopeefood eh malah ada kebakaran pas banget  pesan minuman sambil nonton kebakaran,orang nunggu shopeefood eh kebakaran pas banget pesan minuman nonton kebakaran,"['orang', 'nunggu', 'shopeefood', 'eh', 'bakar', 'pas', 'banget', 'pesan', 'minum', 'nonton', 'bakar']"
480,2021-12-25 13:32:38+00:00,sebel bgt anying jajanan shopeefood gua hari ini ga ada yg enak,sebel bgt anying jajanan shopeefood gua hari ini ga ada yg enak,sebel begitu anying jajanan shopeefood saya hari ini tidak ada yang enak,sebel anying jajanan shopeefood enak,"['sebel', 'anying', 'jajan', 'shopeefood', 'enak']"
481,2021-12-25 13:28:23+00:00,"baru gua sekesel ini sama driver shopeefood. udah restonya bikinnya lama, drivernya bikin kesel nyasar kesana kemari udah dikasih alamat jelas. gue nunggu dari jam 7. jarak resto ga jauh ajg dari rumah gua. kesel bgt tai.",baru gua sekesel ini sama driver shopeefood udah restonya bikinnya lama drivernya bikin kesel nyasar kesana kemari udah dikasih alamat jelas gue nunggu dari jam jarak resto ga jauh ajg dari rumah gua kesel bgt tai,baru saya sekesel ini sama driver shopeefood sudah restonya bikinnya lama drivernya bikin kesal nyasar kesana kemari sudah dikasih alamat jelas saya nunggu dari jam jarak resto tidak jauh ajg dari rumah saya kesal begitu tai,sekesel driver shopeefood restonya bikinnya drivernya kesal nyasar kesana kemari dikasih alamat nunggu jam jarak resto ajg rumah kesal tai,"['sekesel', 'driver', 'shopeefood', 'restonya', 'bikin', 'drivernya', 'kesal', 'nyasar', 'kesana', 'kemari', 'kasih', 'alamat', 'nunggu', 'jam', 'jarak', 'resto', 'ajg', 'rumah', 'kesal', 'tai']"
482,2021-12-25 13:27:29+00:00,@SoloMenfess Aku cek sihhh. Tp map shopeefood kadang tuh ga gitu akurat,aku cek sihhh tp map shopeefood kadang tuh ga gitu akurat,saya cek sihhh tapi map shopeefood kadang  itu tidak begitu akurat,cek sihhh map shopeefood kadang akurat,"['cek', 'sihhh', 'map', 'shopeefood', 'kadang', 'akurat']"
