Tweets,Case_Folding,Clean_Data,Tweet_Normal;;;;;;
"@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja,""@askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja"",ini bukan shopeefood nder itu cuman voucher nha aja,ini bukan shopeefood nder itu cuman voucher ini aja";;;;;;
@ShopeeCare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? Dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa ko;;;;;;
@fimegasari Apalagi gaada shopeefood:(,@fimegasari apalagi gaada shopeefood:(,apalagi gaada shopeefood,apalagi tidak ada shopeefood;;;;;;
@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn,id kapan buka pendaftaran merchant lagi minnnnnn,id kapan buka pendaftaran merchant lagi admin;;;;;;
top up uangku ordernya di shopeefood,top up uangku ordernya di shopeefood,top up uangku ordernya di shopeefood,mantap up uangku ordernya di shopeefood;;;;;;
"@in_rd_sa @ezash Astaga Dog :’))

Senja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/RgyLXHQgtM,""@in_rd_sa @ezash astaga dog :’))";;;;;;
;;;;;;
"senja nitip lapak jualan senja : ricebox wagyu, available di jakarta dsk, bisa dipesan via gofood/grabfood/shopeefood (search : senjayummy). https://t.co/rgylxhqgtm"",rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available di jakarta dsk bisa dipesan via gofoodgrabfoodshopeefood search senjayummy,rdsa astaga dog senja nitip lapak jualan senja ricebox wagyu available di jakarta dsk bisa dipesan via gofoodgrabfoodshopeefood search senjayummy";;;;;;
yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh,yang pakai alamat saya sp si astaga setiap hari shopeefood sama gojek dateng terus risih;;;;;;
"BEAR BOBBA LOWOKWARU

Cinnamon Roll Macchiato 18K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

🌐 https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#BTS https://t.co/kvnyQpieh8,""bear bobba lowokwaru";;;;;;
;;;;;;
cinnamon roll macchiato 18k #bigcup22oz;;;;;;
50% disc #shopeefood #grabfood #gofood;;;;;;
;;;;;;
🌐 https://t.co/6fpladgvld;;;;;;
;;;;;;
#infokulinermalang;;;;;;
#laporlaper;;;;;;
#kulinerhitsmalang;;;;;;
#malangculinary;;;;;;
#malangkuliner;;;;;;
#bobamalang;;;;;;
#kopimalang ;;;;;;
#estehmalang;;;;;;
#mojitomalang;;;;;;
#grab;;;;;;
#gojek;;;;;;
"#bts https://t.co/kvnyqpieh8"",bear bobba lowokwaru cinnamon roll macchiato k disc,bear bobba lowokwaru cinnamon roll macchiato ke disc";;;;;;
kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood ga ada menu butter caramel,kok mcd di shopeefood tidak ada menu butter caramel;;;;;;
"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* https://t.co/cuPipXNGbG,""di shopeefood aja";;;;;;
"*ayam gacor - menteng atas* https://t.co/cupipxngbg"",di shopeefood aja ayam gacor menteng atas,di shopeefood aja ayam gacor menteng atas";;;;;;
"di ShopeeFood aja
*Ayam Gacor - Menteng Atas* @ Ayam Gacor Menteng Atas https://t.co/3hpmFsEVcY,""di shopeefood aja";;;;;;
"*ayam gacor - menteng atas* @ ayam gacor menteng atas https://t.co/3hpmfsevcy"",di shopeefood aja ayam gacor menteng atas ayam gacor menteng atas,di shopeefood aja ayam gacor menteng atas ayam gacor menteng atas";;;;;;
"Setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke ShopeeFood aja pesen nasi paddington,""setelah 40 menit bolak-balik shopee, grab, gofood buat nyari diskonan ya akhirnya ke shopeefood aja pesen nasi paddington"",setelah menit bolakbalik shopee grab gofood buat nyari diskonan ya akhirnya ke shopeefood aja pesen nasi paddington,setelah menit bolakbalik shopee grab gofood buat mencari diskonan ya akhirnya ke shopeefood aja pesan nasi paddington";;;;;;
Siapa yg cita citanya namatin game shopeefood,siapa yg cita citanya namatin game shopeefood,siapa yg cita citanya namatin game shopeefood,siapa yang cita citanya menyelesaikan game shopeefood;;;;;;
"@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi,""@merapi_uncover kayane wes klarifikasi kuwi mas2 e cen kurir shopeefood sing hobby ne mendaki, mung cari sensasi"",uncover kayane wes klarifik";;;;;;
"haii! aku jg ada voucher shopeefood nihh~
fee 2k-5k (tergantung voucher yg dipakai yaaa)

yg minat bisa langsung dm yaa^^
jangan lupa mention setelah dm yap #zonauang #zonaba #zonaBU #Zonajajan https://t.co/OyRJ8Iyxmq,""haii! aku jg ada voucher shopeefood nihh~";;;;;;
fee 2k-5k (tergantung voucher yg dipakai yaaa);;;;;;
;;;;;;
yg minat bisa langsung dm yaa^^;;;;;;
