,Created_At,Tweets
96,2021-10-17 10:36:42+00:00,"@tynderfess Jogja here, lets pesen syopifud aja di maakan di kosan✌🏻"
97,2021-10-17 09:46:15+00:00,Jog beli tela2 yg bs d gr4bfud atau syopifud dmn ya? Lg pengen bgt huhu
98,2021-10-17 08:14:45+00:00,@ayesthetical wkakakkakakaka sudah habis era promo syopifud :(((
99,2021-10-17 07:49:16+00:00,ngadi2 u syopifud 😩 promo abis buat biaya layanan + tambahan utk resto + defisit ongkir https://t.co/ru8iEM4YNn
100,2021-10-17 07:41:57+00:00,"Baru kmren bilang sama diri sendiri berhenti njajan, lahkok keracunan syopifud
Keknya harus diuninstall aja deh ini appnya"
101,2021-10-17 06:43:57+00:00,"pesen pecel di syopifud, ehh bumbunya ketinggalan
pesen beberapa gorengan juga ga ada https://t.co/fn7bmsKqf7"
102,2021-10-17 05:25:15+00:00,"Abis angkat beban, angkat hp scrolling syopifud.. 
😐🔫"
103,2021-10-17 01:21:14+00:00,@collegemenfess Pake syopifud ae nder sangat menyelamatkan kehidupan anak kos👍
104,2021-10-16 17:44:17+00:00,"Tp jd 10k aja totalnya, thanks to syopifud"
105,2021-10-16 14:29:19+00:00,Driver syopifud knp pd muda2 si wkwk jd seger liatnya kl di outlet🤣
106,2021-10-16 13:32:04+00:00,"Grabfud, gofud, syopifud, fud, fud, fud,.... https://t.co/DcHyodkMlL"
107,2021-10-16 12:30:10+00:00,pertama kali nyoba syopifud https://t.co/Cvk3xDt8ty
108,2021-10-16 12:15:26+00:00,pls kenapa syopifud tuh gjls gt mapsnya yaampun sy pdhl udh bener titiknya trs pas search resto jg 5km kok pas checkout bisa 11km sih? edan
109,2021-10-16 11:59:51+00:00,@0323rjn emang terbaik syopifud 😍😍
110,2021-10-16 11:13:33+00:00,ga kebayangg indahnya hidup kalo syopifud bisa pake paylater🤣🤣
111,2021-10-16 11:08:37+00:00,Apa apaaan syopifud murah bgt kena diskon cuma bayar 9000 dianter pula😭😭🙏🏽
